date,close,index
2011-01-06,34.400638580322266,EEM (Emerging Markets)
2011-01-07,34.08324432373047,EEM (Emerging Markets)
2011-01-10,33.72978210449219,EEM (Emerging Markets)
2011-01-11,34.0904541015625,EEM (Emerging Markets)
2011-01-12,34.775726318359375,EEM (Emerging Markets)
2011-01-13,34.47277069091797,EEM (Emerging Markets)
2011-01-14,34.57375717163086,EEM (Emerging Markets)
2011-01-18,34.52325439453125,EEM (Emerging Markets)
2011-01-19,34.25636672973633,EEM (Emerging Markets)
2011-01-20,33.88126754760742,EEM (Emerging Markets)
2011-01-21,33.52780532836914,EEM (Emerging Markets)
2011-01-24,33.78749465942383,EEM (Emerging Markets)
2011-01-25,33.58551788330078,EEM (Emerging Markets)
2011-01-26,33.88126754760742,EEM (Emerging Markets)
2011-01-27,33.765865325927734,EEM (Emerging Markets)
2011-01-28,32.698272705078125,EEM (Emerging Markets)
2011-01-31,33.04451370239258,EEM (Emerging Markets)
2011-02-01,33.84519958496094,EEM (Emerging Markets)
2011-02-02,33.592735290527344,EEM (Emerging Markets)
2011-02-03,33.54944610595703,EEM (Emerging Markets)
2011-02-04,33.542236328125,EEM (Emerging Markets)
2011-02-07,33.58551788330078,EEM (Emerging Markets)
2011-02-08,33.599952697753906,EEM (Emerging Markets)
2011-02-09,32.828121185302734,EEM (Emerging Markets)
2011-02-10,32.5179443359375,EEM (Emerging Markets)
2011-02-11,32.9146728515625,EEM (Emerging Markets)
2011-02-14,32.74876403808594,EEM (Emerging Markets)
2011-02-15,32.81367874145508,EEM (Emerging Markets)
2011-02-16,33.087799072265625,EEM (Emerging Markets)
2011-02-17,33.203208923339844,EEM (Emerging Markets)
2011-02-18,33.40518569946289,EEM (Emerging Markets)
2011-02-22,32.33761215209961,EEM (Emerging Markets)
2011-02-23,32.3664665222168,EEM (Emerging Markets)
2011-02-24,32.445804595947266,EEM (Emerging Markets)
2011-02-25,32.8353271484375,EEM (Emerging Markets)
2011-02-28,33.03009033203125,EEM (Emerging Markets)
2011-03-01,32.691062927246094,EEM (Emerging Markets)
2011-03-02,33.13829040527344,EEM (Emerging Markets)
2011-03-03,33.79471206665039,EEM (Emerging Markets)
2011-03-04,33.830780029296875,EEM (Emerging Markets)
2011-03-07,33.35469055175781,EEM (Emerging Markets)
2011-03-08,33.80192184448242,EEM (Emerging Markets)
2011-03-09,33.86683654785156,EEM (Emerging Markets)
2011-03-10,32.86418151855469,EEM (Emerging Markets)
2011-03-11,33.203208923339844,EEM (Emerging Markets)
2011-03-14,33.39796829223633,EEM (Emerging Markets)
2011-03-15,32.8425407409668,EEM (Emerging Markets)
2011-03-16,32.17170333862305,EEM (Emerging Markets)
2011-03-17,32.56843185424805,EEM (Emerging Markets)
2011-03-18,32.62614440917969,EEM (Emerging Markets)
2011-03-21,33.253700256347656,EEM (Emerging Markets)
2011-03-22,33.35469055175781,EEM (Emerging Markets)
2011-03-23,33.79471206665039,EEM (Emerging Markets)
2011-03-24,34.18423080444336,EEM (Emerging Markets)
2011-03-25,34.148162841796875,EEM (Emerging Markets)
2011-03-28,33.97504425048828,EEM (Emerging Markets)
2011-03-29,34.36455535888672,EEM (Emerging Markets)
2011-03-30,34.804588317871094,EEM (Emerging Markets)
2011-03-31,35.107540130615234,EEM (Emerging Markets)
